"typeResult","idGame","slugTeam","idTeam","pctAST","pctOREB","pctDREB","pctTREB","pctTOVE","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","teamName","cityTeam","minExact","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","pacePer40PACE_PER40","possessions","ratioPIE"
"team",22200354,"ATL",1610612737,0.545,0.356,0.712,0.523,16.293,16.5,0.495,0.521,1,0.199,"Hawks","Atlanta",240,103.2,104.6,112.5,112,-9.3,-7.4,1.33,15.8,109.02,108.5,90.42,109,0.446
"team",22200355,"TOR",1610612761,0.487,0.294,0.735,0.51,13.105,13.3,0.518,0.56,1,0.2,"Raptors","Toronto",240,110.9,112.2,119.3,118.4,-8.4,-6.1,1.46,14.6,98.22,98,81.67,98,0.456
"team",22200355,"BOS",1610612738,0.614,0.265,0.706,0.49,11.312,11.2,0.561,0.584,1,0.198,"Celtics","Boston",240,119.3,118.4,110.9,112.2,8.4,6.1,2.45,19.7,98.22,98,81.67,98,0.544
"team",22200352,"LAC",1610612746,0.667,0.327,0.704,0.519,11.853,12.1,0.565,0.582,1,0.198,"Clippers","LA",240,117.5,120.2,115.3,119.4,2.2,0.8,2.5,20.8,101.36,98.5,82.08,99,0.493
"team",22200352,"CHA",1610612766,0.617,0.296,0.673,0.481,9.854,10.2,0.541,0.555,1,0.197,"Hornets","Charlotte",240,115.3,119.4,117.5,120.2,-2.2,-0.8,2.9,20.1,101.36,98.5,82.08,98,0.507
"team",22200359,"IND",1610612754,0.605,0.308,0.733,0.536,15.752,17,0.561,0.572,1,0.188,"Pacers","Indiana",240,103.8,112,101.6,104,2.2,8,1.53,18.5,105.14,100,83.33,100,0.528
"team",22200359,"GSW",1610612744,0.684,0.267,0.692,0.464,11.723,12,0.473,0.508,1,0.199,"Warriors","Golden State",240,101.6,104,103.8,112,-2.2,-8,2.17,18.5,105.14,100,83.33,100,0.472
"team",22200360,"LAL",1610612747,0.421,0.315,0.733,0.505,15.754,16.2,0.461,0.512,1,0.197,"Lakers","Los Angeles",240,100.4,103,116.6,117.2,-16.2,-14.1,1,12.2,100.52,99,82.5,99,0.399
"team",22200360,"CLE",1610612739,0.521,0.267,0.685,0.495,8.042,8.1,0.554,0.577,1,0.199,"Cavaliers","Cleveland",240,116.6,117.2,100.4,103,16.2,14.1,3.13,18.7,100.52,99,82.5,99,0.601
"team",22200362,"DEN",1610612743,0.75,0.238,0.816,0.513,17.116,17.3,0.596,0.637,1,0.198,"Nuggets","Denver",240,115.8,117.3,117.6,118.4,-1.8,-1,1.76,21.8,98.98,98,81.67,98,0.497
"team",22200362,"DAL",1610612742,0.75,0.184,0.762,0.488,17.234,17.3,0.618,0.677,1,0.197,"Mavericks","Dallas",240,117.6,118.4,115.8,117.3,1.8,1,1.59,20.8,98.98,98,81.67,98,0.503
"team",22200361,"MIA",1610612748,0.636,0.239,0.739,0.489,15.554,15.6,0.494,0.543,1,0.201,"Heat","Miami",240,99.5,100,118.9,122.1,-19.3,-22.1,1.4,16.9,97.02,95.5,79.58,96,0.417
"team",22200361,"DET",1610612765,0.628,0.261,0.761,0.511,13.32,13.7,0.603,0.62,1,0.197,"Pistons","Detroit",240,118.9,122.1,99.5,100,19.3,22.1,2.08,20.2,97.02,95.5,79.58,95,0.583
"team",22200371,"NOP",1610612740,0.538,0.286,0.772,0.547,18.248,19.2,0.506,0.547,1,0.195,"Pelicans","New Orleans",240,99.9,105.1,96,98,3.8,7.1,1.11,15.5,103.08,99.5,82.92,99,0.587
